Start date,End date,Open Price,Close Price,Low Price,High Price,Open Volume,Close Volume,Low Volume,High Volume
1983-12-07,1983-12-20,20.5,23.374999,20.25,25.0,22288000,44436000,16284800,79150400
1983-12-21,1984-01-05,23.374999,28.249999,23.25,29.0,42946400,76428800,12140800,76428800
1984-01-06,1984-01-19,28.249999,29.0,25.375,29.500001,42123200,37430400,27585600,55126400
1984-01-20,1984-02-02,29.0,24.875,23.125,29.124999,35336000,33728800,33728800,86273600
1984-02-03,1984-02-16,24.875,25.375,22.375,26.75,36372000,26308800,26308800,58699200
1984-02-17,1984-03-02,25.375,27.25,24.875,28.0,33661600,47812800,19454400,55843200
1984-03-05,1984-03-16,27.25,26.625,25.124999,27.749999,18401600,31175200,13820800,38220000
1984-03-19,1984-03-30,26.500001,24.750001,24.5,26.75,20647200,11435200,9794400,25132800
1984-04-02,1984-04-13,24.750001,25.75,23.000001,26.375,13664000,25849600,11026400,26919200
1984-04-16,1984-04-30,25.75,31.375,25.124999,31.375,17029600,73287200,17029600,92999200
1984-05-01,1984-05-14,31.749999,31.625,29.875,34.374999,101628800,22321600,22321600,101628800
1984-05-15,1984-05-29,31.625,29.375001,28.75,32.25,25676000,39065600,25676000,108763200
1984-05-30,1984-06-12,29.375001,29.124999,27.749999,30.75,79609600,29282400,21061600,82107200
1984-06-13,1984-06-26,29.249999,25.999999,25.999999,30.625,28929600,37161600,21151200,41871200
1984-06-27,1984-07-11,25.999999,26.500001,24.249999,27.749999,94320800,30273600,23296000,94320800
1984-07-12,1984-07-25,26.500001,26.75,24.5,27.375001,42173600,50114400,8293600,50747200
1984-07-26,1984-08-08,26.75,28.500001,24.0,30.5,35834400,73600800,18485600,156699200
1984-08-09,1984-08-22,28.500001,28.0,26.625,30.874999,64405600,55104000,34613600,99344000
1984-08-23,1984-09-06,28.0,26.500001,25.999999,28.625001,20854400,32743200,12740000,34462400
1984-09-07,1984-09-20,26.500001,27.125,25.875,29.0,20815200,16542400,16156000,61717600
1984-09-21,1984-10-04,27.125,25.375,24.5,27.875,24959200,31371200,19751200,58352000
1984-10-05,1984-10-18,25.375,25.625001,22.499999,25.75,24393600,61790400,11743200,91212800
1984-10-19,1984-11-01,25.625001,25.0,24.5,27.375001,81530400,11760000,11760000,81530400
1984-11-02,1984-11-15,25.0,23.75,23.000001,26.375,6921600,26650400,6921600,73533600
1984-11-16,1984-11-30,23.75,24.750001,21.875,26.500001,41440000,27176800,25160800,102631200
1984-12-03,1984-12-14,24.750001,26.375,24.375,28.374999,24500000,24035200,16710400,123631200
1984-12-17,1984-12-31,27.0,29.124999,26.75,29.249999,31309600,51940000,16794400,85142400
1985-01-02,1985-01-15,29.124999,29.999999,27.875,31.125001,43825600,66242400,34316800,69266400
1985-01-16,1985-01-29,30.250001,29.875,28.0,30.75,47471200,55932800,47471200,136880800
1985-01-30,1985-02-12,29.875,29.75,28.374999,30.75,123110400,56627200,33006400,123110400
1985-02-13,1985-02-27,29.75,25.124999,25.124999,29.75,131756800,100895200,24634400,131756800
1985-02-28,1985-03-13,25.124999,21.75,20.749999,25.999999,79766400,62781600,32692800,183495200
1985-03-14,1985-03-27,21.75,21.875,21.624999,23.125,60401600,27837600,20092800,101242400
1985-03-28,1985-04-11,21.875,21.375,19.625,22.625,32401600,36668800,21795200,65973600
1985-04-12,1985-04-25,21.375,22.0,20.749999,23.000001,18132800,21907200,14957600,50607200
1985-04-26,1985-05-09,22.0,20.0,19.25,22.625,29926400,31768800,14033600,82443200
1985-05-10,1985-05-23,20.0,19.75,19.75,22.25,34020000,59791200,21806400,59791200
1985-05-24,1985-06-07,19.75,16.374999,16.000001,19.75,147369600,118809600,61639200,147369600
1985-06-10,1985-06-21,16.374999,16.125,14.75,16.5,79032800,41535200,41535200,141416800
1985-06-24,1985-07-08,17.249999,17.625,17.249999,18.5,51441600,23055200,9144800,73477600
1985-07-09,1985-07-22,17.625,16.875001,16.875001,18.25,36976800,48076000,11760000,48076000
1985-07-23,1985-08-05,16.875001,15.375,15.375,17.125,42173600,23083200,12891200,78769600
1985-08-06,1985-08-19,15.375,15.0,14.5,16.000001,15769600,11967200,10595200,72475200
1985-08-20,1985-09-03,15.25,14.75,14.75,15.375,16738400,9363200,8915200,30828000
1985-09-04,1985-09-17,14.875,15.25,14.875,16.125,11888800,45936800,8204000,45936800
1985-09-18,1985-10-01,16.25,15.75,15.75,17.249999,30021600,22086400,250400,46580800
1985-10-02,1985-10-15,15.75,17.0,15.0,17.125,5376000,73472000,5376000,73472000
1985-10-16,1985-10-29,18.0,17.875,17.249999,19.125,72111200,32720800,14868000,106136800
1985-10-30,1985-11-12,18.999999,19.874999,18.625001,20.749999,56644000,43411200,23139200,79284800
1985-11-13,1985-11-26,19.874999,19.375,18.875,20.25,25390400,41115200,16139200,41115200
1985-11-27,1985-12-11,19.375,19.75,19.25,20.749999,47930400,59404800,16363200,59404800
1985-12-12,1985-12-26,19.874999,21.75,19.75,22.875,31315200,11463200,11463200,139949600
1985-12-27,1986-01-10,21.75,22.75,21.75,23.5,30721600,38309600,21812000,151900000
1986-01-13,1986-01-24,22.75,22.625,22.375,24.750001,53855200,27994400,27994400,133694400
1986-01-27,1986-02-07,22.625,24.0,22.0,24.375,97395200,32351200,32351200,147392000
1986-02-10,1986-02-24,24.0,25.75,23.25,25.75,27960800,61779200,27344800,89919200
1986-02-25,1986-03-10,25.75,24.625,24.249999,26.75,56184800,18872000,18872000,56184800
1986-03-11,1986-03-24,24.625,26.75,24.375,29.625,25765600,73578400,21420000,226032800
1986-03-25,1986-04-08,26.75,27.625,26.25,29.0,70268800,48305600,30032800,81323200
1986-04-09,1986-04-22,27.625,29.875,26.75,31.250001,33829600,81967200,18916800,81967200
1986-04-23,1986-05-06,29.875,32.624999,26.874999,33.25,65368800,54633600,23396800,114592800
1986-05-07,1986-05-20,32.624999,35.374999,31.250001,37.375001,49700000,61448800,49700000,120747200
1986-05-21,1986-06-04,35.374999,38.749999,35.0,38.874999,86682400,75163200,21162400,86682400
1986-06-05,1986-06-18,38.749999,34.25,32.5,39.125001,36971200,107413600,32272800,107413600
1986-06-19,1986-07-02,34.25,36.124999,33.875001,36.75,86161600,36209600,12549600,86161600
1986-07-03,1986-07-17,36.124999,32.25,32.125001,37.75,45292800,62720000,45292800,134960000
1986-07-18,1986-07-31,32.25,31.250001,29.999999,34.625001,77280000,70560000,36142400,148960000
1986-08-01,1986-08-14,31.125001,36.0,30.625,36.999999,37520000,57680000,27535200,113680000
